Time|         N|       LIR|     Table|       ST4|       ST3|       ST5|ST1 (flow T)|ST1 (flow H)|       SO1|       SO2|       SP5|       SP1|       SP4|       SP3|       SF1|       SP2|       SP8|      SP15|
Time|         N|       LIR|     Table|       ST4|       ST3|       ST5|ST1 (flow T)|ST1 (flow H)|       SO1|       SO2|       SP5|       SP1|       SP4|       SP3|       SF1|       SP2|       SP8|      SP15|
Time|         N|       LIR|     Table|       ST4|       ST3|       ST5|ST1 (flow T)|ST1 (flow H)|       SO1|       SO2|       SP5|       SP1|       SP4|       SP3|       SF1|       SP2|       SP8|      SP15|
Time|         N|       LIR|     Table|       ST4|       ST3|       ST5|ST1 (flow T)|ST1 (flow H)|       SO1|       SO2|       SP5|       SP1|       SP4|       SP3|       SF1|       SP2|       SP8|      SP15|
Time|         N|       LIR|     Table|       ST4|       ST3|       ST5|ST1 (flow T)|ST1 (flow H)|       SO1|       SO2|       SP5|       SP1|       SP4|       SP3|       SF1|       SP2|       SP8|      SP15|
14:37:11|         0|   -234845|  -4.13227|       0.0|      25.0|     102.0|     36.60|      1.32|      0.59|      1.05|      8.40|    0.6422|    1.0036|    0.0041|     899.9|   -0.0342|    0.0258|       0.1|
14:37:51|         1|   -234876|  -4.13281|       0.0|      25.0|      98.4|     36.60|      1.32|      0.55|      1.07|      8.10|    0.8465|    1.0123|    0.0192|     912.0|   -0.0287|    0.0403|       0.1|
14:38:31|         2|   -234906|  -4.13334|       0.0|      25.0|      95.5|     36.60|      1.32|      0.54|      1.02|      8.10|    0.7292|    1.0070|    0.0063|     901.1|   -0.0287|    0.0273|       0.1|
14:39:10|         3|   -234936|  -4.13387|       0.0|      25.0|      93.4|     36.60|      1.32|      0.55|      0.98|      8.40|    0.3583|    1.0044|    0.0054|     897.5|   -0.0342|    0.0271|       0.1|
14:39:50|         4|   -234964|  -4.13436|       0.0|      25.0|      91.8|     36.60|      1.32|      0.55|      0.97|      8.40|    0.3611|    1.0034|    0.0037|     901.0|   -0.0342|    0.0254|       0.1|
14:40:29|         5|   -234996|  -4.13492|       0.0|      25.0|      90.5|    125.00|      1.39|      0.55|      0.97|      8.40|    0.3611|    1.0029|    0.0026|     904.2|   -0.0344|    0.0245|       0.1|
14:41:09|         6|   -235026|  -4.13545|       0.0|      25.0|      89.7|    125.00|      1.39|      0.55|      0.98|      8.40|    0.3608|    1.0042|    0.0050|     902.0|   -0.0342|    0.0267|       0.1|
14:41:49|         7|   -235056|  -4.13598|       0.0|      25.0|      88.6|    125.00|      3.12|      0.55|      0.98|      8.40|    0.3613|    1.0029|    0.0031|     896.9|   -0.0342|    0.0248|       0.1|
14:42:28|         8|   -235083|  -4.13646|       0.0|      25.0|      88.3|    125.00|      3.12|      0.55|      1.00|      8.40|    0.3611|    1.0040|    0.0048|     901.9|   -0.0344|    0.0265|       0.1|
14:43:08|         9|   -235116|  -4.13704|       0.0|      25.0|      87.7|    125.00|      3.12|      0.53|      0.96|      8.40|    0.6670|    1.0036|    0.0041|     900.6|   -0.0342|    0.0258|       0.1|
14:43:48|        10|   -235145|  -4.13755|       0.0|      25.0|      87.0|    125.00|      3.12|      0.53|      0.96|      8.40|    0.6651|    1.0027|    0.0026|     896.1|   -0.0340|    0.0243|       0.1|
14:44:27|        11|   -235176|  -4.13809|       0.0|      25.0|      86.4|    125.00|      3.12|      0.53|      0.97|      8.40|    0.6649|    1.0042|    0.0048|     901.4|   -0.0342|    0.0267|       0.1|
