height;Total slice surface (mm?);Part (mm?);Non solid support (mm?);Solid support (mm?)
0,000;2205,563;2181,572;19,590;4,401
0,030;2205,597;2181,568;19,590;4,439
0,060;2205,597;2181,565;19,590;4,442
0,090;2205,592;2181,567;19,590;4,436
0,120;2205,585;2181,566;19,590;4,429
0,150;2205,579;2181,567;19,590;4,422
0,180;2205,571;2181,564;19,590;4,417
0,210;2205,566;2181,565;19,590;4,411
0,240;2205,558;2181,563;19,590;4,406
0,270;2205,552;2181,562;19,590;4,400
0,300;2205,546;2181,562;19,590;4,394
0,330;2205,539;2181,561;19,590;4,388
0,360;2205,530;2181,558;19,590;4,382
0,390;2205,527;2181,561;19,590;4,376
0,420;2205,519;2181,560;19,590;4,369
0,450;2205,513;2181,560;19,590;4,363
0,480;2205,509;2181,562;19,590;4,357
0,510;2205,498;2181,557;19,590;4,351
0,540;2205,494;2181,560;19,590;4,344
0,570;2205,483;2181,555;19,590;4,338
0,600;2205,482;2181,561;19,590;4,332
0,630;2205,470;2181,554;19,590;4,326
0,660;2205,467;2181,557;19,590;4,320
0,690;2205,461;2181,558;19,590;4,314
0,720;2205,455;2181,558;19,590;4,307
0,750;2205,445;2181,554;19,590;4,301
0,780;2205,439;2181,554;19,590;4,295
0,810;2205,434;2181,555;19,590;4,289
0,840;2205,426;2181,554;19,590;4,283
0,870;2205,422;2181,555;19,590;4,277
0,900;2205,414;2181,554;19,590;4,270
0,930;2205,409;2181,555;19,590;4,264
0,960;2205,401;2181,553;19,590;4,258
0,990;2205,395;2181,553;19,590;4,252
1,020;2205,388;2181,552;19,590;4,246
1,050;2205,382;2181,552;19,590;4,240
1,080;2205,376;2181,553;19,590;4,233
1,110;2205,367;2181,550;19,590;4,227
1,140;2205,364;2181,553;19,590;4,221
1,170;2205,357;2181,552;19,590;4,215
1,200;2205,351;2181,552;19,590;4,209
1,230;2205,342;2181,549;19,590;4,203
1,260;2205,340;2181,553;19,590;4,197
1,290;2205,332;2181,552;19,590;4,191
1,320;2205,326;2181,551;19,590;4,185
1,350;2205,321;2181,553;19,590;4,178
1,380;2205,314;2181,551;19,590;4,172
1,410;2205,306;2181,550;19,590;4,166
1,440;2205,301;2181,551;19,590;4,160
1,470;2205,295;2181,551;19,590;4,154
1,500;2205,287;2181,549;19,590;4,148
1,530;2205,284;2181,552;19,590;4,142
1,560;2205,277;2181,551;19,590;4,136
1,590;2205,267;2181,548;19,590;4,130
1,620;2205,265;2181,551;19,590;4,124
1,650;2205,258;2181,550;19,590;4,118
1,680;2205,252;2181,551;19,590;4,112
1,710;2205,247;2181,551;19,590;4,106
1,740;2205,242;2181,552;19,590;4,100
1,770;2205,234;2181,550;19,590;4,094
1,800;2205,229;2181,552;19,590;4,088
1,830;2205,222;2181,551;19,590;4,082
1,860;2205,216;2181,551;19,590;4,076
1,890;2205,212;2181,552;19,590;4,070
1,920;2205,206;2181,552;19,590;4,064
1,950;2205,198;2181,551;19,590;4,058
1,980;2205,192;2181,551;19,590;4,052
2,010;2205,188;2181,552;19,590;4,046
2,040;2205,182;2181,553;19,590;4,040
2,070;2205,176;2181,553;19,590;4,034
2,100;2205,170;2181,552;19,590;4,028
2,130;2205,166;2181,554;19,590;4,022
2,160;2205,160;2181,554;19,590;4,016
2,190;2205,152;2181,552;19,590;4,010
2,220;2205,146;2181,552;19,590;4,004
2,250;2205,140;2181,552;19,590;3,998
2,280;2205,135;2181,553;19,590;3,992
2,310;2205,131;2181,555;19,590;3,986
2,340;2205,125;2181,555;19,590;3,980
2,370;2205,120;2181,556;19,590;3,974
2,400;2205,114;2181,556;19,590;3,968
2,430;2205,109;2181,557;19,590;3,962
2,460;2205,105;2181,559;19,590;3,956
2,490;2205,097;2181,556;19,590;3,950
2,520;2205,091;2181,557;19,590;3,944
2,550;2205,086;2181,558;19,590;3,939
2,580;2205,081;2181,558;19,590;3,933
2,610;2205,075;2181,558;19,590;3,927
2,640;2205,069;2181,559;19,590;3,921
2,670;2205,061;2181,556;19,590;3,915
2,700;2205,060;2181,561;19,590;3,909
2,730;2205,055;2181,562;19,590;3,903
2,760;2205,049;2181,562;19,590;3,897
2,790;2205,041;2181,560;19,590;3,891
2,820;2205,039;2181,563;19,590;3,886
2,850;2205,030;2181,561;19,590;3,880
2,880;2205,026;2181,562;19,590;3,874
2,910;2205,023;2181,565;19,590;3,868
2,940;2205,015;2181,563;19,590;3,862
2,970;2205,012;2181,566;19,590;3,856
3,000;2205,153;2181,713;19,590;3,851
3,030;2205,544;2182,109;19,590;3,845
3,060;2205,935;2182,506;19,590;3,839
3,090;2206,329;2182,906;19,590;3,833
3,120;2206,721;2183,304;19,590;3,827
3,150;2207,112;2183,700;19,590;3,821
3,180;2207,506;2184,100;19,590;3,816
3,210;2207,897;2184,497;19,590;3,810
3,240;2208,291;2184,898;19,590;3,804
3,270;2208,684;2185,296;19,590;3,798
3,300;2209,077;2185,695;19,590;3,792
3,330;2209,470;2186,094;19,590;3,787
3,360;2209,866;2186,495;19,590;3,781
3,390;2210,260;2186,895;19,590;3,775
3,420;2210,655;2187,296;19,590;3,769
3,450;2211,052;2187,698;19,590;3,763
3,480;2211,444;2188,097;19,590;3,758
3,510;2211,840;2188,498;19,590;3,752
3,540;2212,236;2188,900;19,590;3,746
3,570;2212,634;2189,304;19,590;3,740
3,600;2213,029;2189,705;19,590;3,735
3,630;2213,426;2190,108;19,590;3,729
3,660;2213,821;2190,508;19,590;3,723
3,690;2214,220;2190,912;19,590;3,717
3,720;2214,615;2191,314;19,590;3,712
3,750;2215,016;2191,720;19,590;3,706
3,780;2215,414;2192,124;19,590;3,700
3,810;2215,809;2192,525;19,590;3,695
3,840;2216,207;2192,928;19,590;3,689
3,870;2216,607;2193,335;19,590;3,683
3,900;2217,004;2193,736;19,590;3,677
3,930;2217,405;2194,144;19,590;3,672
3,960;2217,804;2194,548;19,590;3,666
3,990;2218,202;2194,952;19,590;3,660
4,020;2218,603;2195,358;19,590;3,655
4,050;2219,004;2195,765;19,590;3,649
4,080;2219,405;2196,172;19,590;3,643
4,110;2219,806;2196,579;19,590;3,638
4,140;2220,207;2196,985;19,590;3,632
4,170;2220,606;2197,390;19,590;3,626
4,200;2221,011;2197,801;19,590;3,621
4,230;2221,411;2198,206;19,590;3,615
4,260;2221,813;2198,614;19,590;3,609
4,290;2222,215;2199,021;19,590;3,604
4,320;2222,617;2199,429;19,590;3,598
4,350;2223,020;2199,838;19,590;3,592
4,380;2223,422;2200,245;19,590;3,587
4,410;2223,826;2200,655;19,590;3,581
4,440;2224,231;2201,066;19,590;3,576
4,470;2224,634;2201,474;19,590;3,570
4,500;2225,037;2201,883;19,590;3,564
4,530;2225,443;2202,294;19,590;3,559
4,560;2225,846;2202,703;19,590;3,553
4,590;2226,251;2203,114;19,590;3,547
4,620;2226,655;2203,524;19,590;3,542
4,650;2227,060;2203,934;19,590;3,536
4,680;2227,467;2204,347;19,590;3,531
4,710;2227,873;2204,758;19,590;3,525
4,740;2228,278;2205,169;19,590;3,520
4,770;2228,685;2205,581;19,590;3,514
4,800;2229,090;2205,992;19,590;3,508
4,830;2229,499;2206,407;19,590;3,503
4,860;2229,906;2206,819;19,590;3,497
4,890;2230,311;2207,230;19,590;3,492
4,920;2230,721;2207,645;19,590;3,486
4,950;2231,106;2208,035;19,590;3,481
4,980;2231,477;2208,412;19,590;3,475
5,010;2231,839;2208,779;19,590;3,470
5,040;2232,193;2209,139;19,590;3,464
5,070;2232,538;2209,490;19,590;3,458
5,100;2232,878;2209,836;19,590;3,453
5,130;2233,216;2210,179;19,590;3,447
5,160;2233,544;2210,512;19,590;3,442
5,190;2233,869;2210,843;19,590;3,436
5,220;2234,189;2211,169;19,590;3,431
5,250;2234,507;2211,492;19,590;3,425
5,280;2234,819;2211,810;19,590;3,420
5,310;2235,113;2212,109;19,590;3,414
5,340;2235,391;2212,392;19,590;3,409
5,370;2235,660;2212,667;19,590;3,403
5,400;2235,919;2212,931;19,590;3,398
5,430;2236,171;2213,189;19,590;3,392
5,460;2236,418;2213,441;19,590;3,387
5,490;2236,658;2213,687;19,590;3,382
5,520;2236,891;2213,925;19,590;3,376
5,550;2237,124;2214,163;19,590;3,371
5,580;2237,352;2214,397;19,590;3,365
5,610;2237,575;2214,626;19,590;3,360
5,640;2237,798;2214,854;19,590;3,354
5,670;2238,016;2215,077;19,590;3,349
