,height,tss,part,nss,ss
0,0.0,2205.563,2181.572,19.59,4.401
1,0.03,2205.597,2181.568,19.59,4.439
2,0.06,2205.597,2181.565,19.59,4.442
3,0.09,2205.592,2181.567,19.59,4.436
4,0.12,2205.585,2181.566,19.59,4.429
5,0.15,2205.579,2181.567,19.59,4.422
6,0.18,2205.571,2181.564,19.59,4.417
7,0.21,2205.566,2181.565,19.59,4.411
8,0.24,2205.558,2181.563,19.59,4.406
9,0.27,2205.552,2181.562,19.59,4.4
10,0.3,2205.546,2181.562,19.59,4.394
11,0.33,2205.539,2181.561,19.59,4.388
12,0.36,2205.53,2181.558,19.59,4.382
13,0.39,2205.527,2181.561,19.59,4.376
14,0.42,2205.519,2181.56,19.59,4.369
15,0.45,2205.513,2181.56,19.59,4.363
16,0.48,2205.509,2181.562,19.59,4.357
17,0.51,2205.498,2181.557,19.59,4.351
18,0.54,2205.494,2181.56,19.59,4.344
19,0.57,2205.483,2181.555,19.59,4.338
20,0.6,2205.482,2181.561,19.59,4.332
21,0.63,2205.47,2181.554,19.59,4.326
22,0.66,2205.467,2181.557,19.59,4.32
23,0.69,2205.461,2181.558,19.59,4.314
24,0.72,2205.455,2181.558,19.59,4.307
25,0.75,2205.445,2181.554,19.59,4.301
26,0.78,2205.439,2181.554,19.59,4.295
27,0.81,2205.434,2181.555,19.59,4.289
28,0.84,2205.426,2181.554,19.59,4.283
29,0.87,2205.422,2181.555,19.59,4.277
30,0.9,2205.414,2181.554,19.59,4.27
31,0.93,2205.409,2181.555,19.59,4.264
32,0.96,2205.401,2181.553,19.59,4.258
33,0.99,2205.395,2181.553,19.59,4.252
34,1.02,2205.388,2181.552,19.59,4.246
35,1.05,2205.382,2181.552,19.59,4.24
36,1.08,2205.376,2181.553,19.59,4.233
37,1.11,2205.367,2181.55,19.59,4.227
38,1.14,2205.364,2181.553,19.59,4.221
39,1.17,2205.357,2181.552,19.59,4.215
40,1.2,2205.351,2181.552,19.59,4.209
41,1.23,2205.342,2181.549,19.59,4.203
42,1.26,2205.34,2181.553,19.59,4.197
43,1.29,2205.332,2181.552,19.59,4.191
44,1.32,2205.326,2181.551,19.59,4.185
45,1.35,2205.321,2181.553,19.59,4.178
46,1.38,2205.314,2181.551,19.59,4.172
47,1.41,2205.306,2181.55,19.59,4.166
48,1.44,2205.301,2181.551,19.59,4.16
49,1.47,2205.295,2181.551,19.59,4.154
50,1.5,2205.287,2181.549,19.59,4.148
51,1.53,2205.284,2181.552,19.59,4.142
52,1.56,2205.277,2181.551,19.59,4.136
53,1.59,2205.267,2181.548,19.59,4.13
54,1.62,2205.265,2181.551,19.59,4.124
55,1.65,2205.258,2181.55,19.59,4.118
56,1.68,2205.252,2181.551,19.59,4.112
57,1.71,2205.247,2181.551,19.59,4.106
58,1.74,2205.242,2181.552,19.59,4.1
59,1.77,2205.234,2181.55,19.59,4.094
60,1.8,2205.229,2181.552,19.59,4.088
61,1.83,2205.222,2181.551,19.59,4.082
62,1.86,2205.216,2181.551,19.59,4.076
63,1.89,2205.212,2181.552,19.59,4.07
64,1.92,2205.206,2181.552,19.59,4.064
65,1.95,2205.198,2181.551,19.59,4.058
66,1.98,2205.192,2181.551,19.59,4.052
67,2.01,2205.188,2181.552,19.59,4.046
68,2.04,2205.182,2181.553,19.59,4.04
69,2.07,2205.176,2181.553,19.59,4.034
70,2.1,2205.17,2181.552,19.59,4.028
71,2.13,2205.166,2181.554,19.59,4.022
72,2.16,2205.16,2181.554,19.59,4.016
73,2.19,2205.152,2181.552,19.59,4.01
74,2.22,2205.146,2181.552,19.59,4.004
75,2.25,2205.14,2181.552,19.59,3.998
76,2.28,2205.135,2181.553,19.59,3.992
77,2.31,2205.131,2181.555,19.59,3.986
78,2.34,2205.125,2181.555,19.59,3.98
79,2.37,2205.12,2181.556,19.59,3.974
80,2.4,2205.114,2181.556,19.59,3.968
81,2.43,2205.109,2181.557,19.59,3.962
82,2.46,2205.105,2181.559,19.59,3.956
83,2.49,2205.097,2181.556,19.59,3.95
84,2.52,2205.091,2181.557,19.59,3.944
85,2.55,2205.086,2181.558,19.59,3.939
86,2.58,2205.081,2181.558,19.59,3.933
87,2.61,2205.075,2181.558,19.59,3.927
88,2.64,2205.069,2181.559,19.59,3.921
89,2.67,2205.061,2181.556,19.59,3.915
90,2.7,2205.06,2181.561,19.59,3.909
91,2.73,2205.055,2181.562,19.59,3.903
92,2.76,2205.049,2181.562,19.59,3.897
93,2.79,2205.041,2181.56,19.59,3.891
94,2.82,2205.039,2181.563,19.59,3.886
95,2.85,2205.03,2181.561,19.59,3.88
96,2.88,2205.026,2181.562,19.59,3.874
97,2.91,2205.023,2181.565,19.59,3.868
98,2.94,2205.015,2181.563,19.59,3.862
99,2.97,2205.012,2181.566,19.59,3.856
100,3.0,2205.153,2181.713,19.59,3.851
101,3.03,2205.544,2182.109,19.59,3.845
102,3.06,2205.935,2182.506,19.59,3.839
103,3.09,2206.329,2182.906,19.59,3.833
104,3.12,2206.721,2183.304,19.59,3.827
105,3.15,2207.112,2183.7,19.59,3.821
106,3.18,2207.506,2184.1,19.59,3.816
107,3.21,2207.897,2184.497,19.59,3.81
108,3.24,2208.291,2184.898,19.59,3.804
109,3.27,2208.684,2185.296,19.59,3.798
110,3.3,2209.077,2185.695,19.59,3.792
111,3.33,2209.47,2186.094,19.59,3.787
112,3.36,2209.866,2186.495,19.59,3.781
113,3.39,2210.26,2186.895,19.59,3.775
114,3.42,2210.655,2187.296,19.59,3.769
115,3.45,2211.052,2187.698,19.59,3.763
116,3.48,2211.444,2188.097,19.59,3.758
117,3.51,2211.84,2188.498,19.59,3.752
118,3.54,2212.236,2188.9,19.59,3.746
119,3.57,2212.634,2189.304,19.59,3.74
120,3.6,2213.029,2189.705,19.59,3.735
121,3.63,2213.426,2190.108,19.59,3.729
122,3.66,2213.821,2190.508,19.59,3.723
123,3.69,2214.22,2190.912,19.59,3.717
124,3.72,2214.615,2191.314,19.59,3.712
125,3.75,2215.016,2191.72,19.59,3.706
126,3.78,2215.414,2192.124,19.59,3.7
127,3.81,2215.809,2192.525,19.59,3.695
128,3.84,2216.207,2192.928,19.59,3.689
129,3.87,2216.607,2193.335,19.59,3.683
130,3.9,2217.004,2193.736,19.59,3.677
131,3.93,2217.405,2194.144,19.59,3.672
132,3.96,2217.804,2194.548,19.59,3.666
133,3.99,2218.202,2194.952,19.59,3.66
134,4.02,2218.603,2195.358,19.59,3.655
135,4.05,2219.004,2195.765,19.59,3.649
136,4.08,2219.405,2196.172,19.59,3.643
137,4.11,2219.806,2196.579,19.59,3.638
138,4.14,2220.207,2196.985,19.59,3.632
139,4.17,2220.606,2197.39,19.59,3.626
140,4.2,2221.011,2197.801,19.59,3.621
141,4.23,2221.411,2198.206,19.59,3.615
142,4.26,2221.813,2198.614,19.59,3.609
143,4.29,2222.215,2199.021,19.59,3.604
144,4.32,2222.617,2199.429,19.59,3.598
145,4.35,2223.02,2199.838,19.59,3.592
